2023-08-22 20:04:34.943 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:04:34.947 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:06:08.601 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-22 20:06:08.612 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:06:08.613 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:06:08.613 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:06:34.896 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor123'}
2023-08-22 20:06:34.900 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:06:34.901 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:06:34.902 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:07:49.088 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:07:49.095 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:07:49.096 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:07:49.097 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:08:00.120 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor123'}
2023-08-22 20:08:00.130 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:08:00.132 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:08:00.133 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:08:04.608 | ERROR    | logs_system:post:44 - Invalid token
2023-08-22 20:08:04.612 | INFO     | logs_system:post:45 - Invalid token
2023-08-22 20:08:04.613 | WARNING  | logs_system:post:47 - Invalid token
2023-08-22 20:08:04.613 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-22 20:08:40.198 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:08:40.207 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:08:40.207 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:08:40.208 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:41.421 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:09:41.427 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:41.428 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:41.428 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:44.757 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'UBUNTU'}
2023-08-22 20:09:44.760 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:44.761 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-22 20:09:44.762 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
